elapsed=495, initial=30, delta=-30, duration=500, res=30
elapsed=495, initial=40, delta=0, duration=500, res=40
elapsed=500, initial=30, delta=-30, duration=500, res=0
elapsed=500, initial=40, delta=0, duration=500, res=40
elapsed=0, initial=1, delta=29, duration=1000, res=1
elapsed=0, initial=40, delta=0, duration=1000, res=40
elapsed=16, initial=1, delta=29, duration=1000, res=1
elapsed=16, initial=40, delta=0, duration=1000, res=40
elapsed=40, initial=1, delta=29, duration=1000, res=1
elapsed=40, initial=40, delta=0, duration=1000, res=40
elapsed=63, initial=1, delta=29, duration=1000, res=1
elapsed=63, initial=40, delta=0, duration=1000, res=40
elapsed=78, initial=1, delta=29, duration=1000, res=1
elapsed=78, initial=40, delta=0, duration=1000, res=40
elapsed=91, initial=1, delta=29, duration=1000, res=1
elapsed=91, initial=40, delta=0, duration=1000, res=40
elapsed=107, initial=1, delta=29, duration=1000, res=1
elapsed=107, initial=40, delta=0, duration=1000, res=40
elapsed=123, initial=1, delta=29, duration=1000, res=1
elapsed=123, initial=40, delta=0, duration=1000, res=40
elapsed=139, initial=1, delta=29, duration=1000, res=1
elapsed=139, initial=40, delta=0, duration=1000, res=40
elapsed=156, initial=1, delta=29, duration=1000, res=1
elapsed=156, initial=40, delta=0, duration=1000, res=40
elapsed=172, initial=1, delta=29, duration=1000, res=1
elapsed=172, initial=40, delta=0, duration=1000, res=40
elapsed=187, initial=1, delta=29, duration=1000, res=1
elapsed=187, initial=40, delta=0, duration=1000, res=40
elapsed=204, initial=1, delta=29, duration=1000, res=1
elapsed=204, initial=40, delta=0, duration=1000, res=40
elapsed=219, initial=1, delta=29, duration=1000, res=1
elapsed=219, initial=40, delta=0, duration=1000, res=40
elapsed=235, initial=1, delta=29, duration=1000, res=1
elapsed=235, initial=40, delta=0, duration=1000, res=40
elapsed=252, initial=1, delta=29, duration=1000, res=1
elapsed=252, initial=40, delta=0, duration=1000, res=40
elapsed=267, initial=1, delta=29, duration=1000, res=1
elapsed=267, initial=40, delta=0, duration=1000, res=40
elapsed=283, initial=1, delta=29, duration=1000, res=1
elapsed=283, initial=40, delta=0, duration=1000, res=40
elapsed=300, initial=1, delta=29, duration=1000, res=1
elapsed=300, initial=40, delta=0, duration=1000, res=40
elapsed=315, initial=1, delta=29, duration=1000, res=1
elapsed=315, initial=40, delta=0, duration=1000, res=40
elapsed=331, initial=1, delta=29, duration=1000, res=1
elapsed=331, initial=40, delta=0, duration=1000, res=40
elapsed=348, initial=1, delta=29, duration=1000, res=1
elapsed=348, initial=40, delta=0, duration=1000, res=40
elapsed=363, initial=1, delta=29, duration=1000, res=1
elapsed=363, initial=40, delta=0, duration=1000, res=40
elapsed=379, initial=1, delta=29, duration=1000, res=1
elapsed=379, initial=40, delta=0, duration=1000, res=40
elapsed=395, initial=1, delta=29, duration=1000, res=1
elapsed=395, initial=40, delta=0, duration=1000, res=40
elapsed=412, initial=1, delta=29, duration=1000, res=1
elapsed=412, initial=40, delta=0, duration=1000, res=40
elapsed=429, initial=1, delta=29, duration=1000, res=1
elapsed=429, initial=40, delta=0, duration=1000, res=40
elapsed=444, initial=1, delta=29, duration=1000, res=1
elapsed=444, initial=40, delta=0, duration=1000, res=40
elapsed=461, initial=1, delta=29, duration=1000, res=1
elapsed=461, initial=40, delta=0, duration=1000, res=40
elapsed=477, initial=1, delta=29, duration=1000, res=1
elapsed=477, initial=40, delta=0, duration=1000, res=40
elapsed=492, initial=1, delta=29, duration=1000, res=1
elapsed=492, initial=40, delta=0, duration=1000, res=40
elapsed=509, initial=1, delta=29, duration=1000, res=1
elapsed=509, initial=40, delta=0, duration=1000, res=40
elapsed=525, initial=1, delta=29, duration=1000, res=1
elapsed=525, initial=40, delta=0, duration=1000, res=40
elapsed=540, initial=1, delta=29, duration=1000, res=1
elapsed=540, initial=40, delta=0, duration=1000, res=40
elapsed=557, initial=1, delta=29, duration=1000, res=1
elapsed=557, initial=40, delta=0, duration=1000, res=40
elapsed=573, initial=1, delta=29, duration=1000, res=1
elapsed=573, initial=40, delta=0, duration=1000, res=40
elapsed=588, initial=1, delta=29, duration=1000, res=1
elapsed=588, initial=40, delta=0, duration=1000, res=40
elapsed=604, initial=1, delta=29, duration=1000, res=1
elapsed=604, initial=40, delta=0, duration=1000, res=40
elapsed=621, initial=1, delta=29, duration=1000, res=1
elapsed=621, initial=40, delta=0, duration=1000, res=40
elapsed=636, initial=1, delta=29, duration=1000, res=1
elapsed=636, initial=40, delta=0, duration=1000, res=40
elapsed=653, initial=1, delta=29, duration=1000, res=1
elapsed=653, initial=40, delta=0, duration=1000, res=40
elapsed=669, initial=1, delta=29, duration=1000, res=1
elapsed=669, initial=40, delta=0, duration=1000, res=40
elapsed=685, initial=1, delta=29, duration=1000, res=1
elapsed=685, initial=40, delta=0, duration=1000, res=40
elapsed=702, initial=1, delta=29, duration=1000, res=1
elapsed=702, initial=40, delta=0, duration=1000, res=40
elapsed=717, initial=1, delta=29, duration=1000, res=1
elapsed=717, initial=40, delta=0, duration=1000, res=40
elapsed=733, initial=1, delta=29, duration=1000, res=1
elapsed=733, initial=40, delta=0, duration=1000, res=40
elapsed=750, initial=1, delta=29, duration=1000, res=1
elapsed=750, initial=40, delta=0, duration=1000, res=40
elapsed=765, initial=1, delta=29, duration=1000, res=1
elapsed=765, initial=40, delta=0, duration=1000, res=40
elapsed=781, initial=1, delta=29, duration=1000, res=1
elapsed=781, initial=40, delta=0, duration=1000, res=40
elapsed=797, initial=1, delta=29, duration=1000, res=1
elapsed=797, initial=40, delta=0, duration=1000, res=40
elapsed=814, initial=1, delta=29, duration=1000, res=1
elapsed=814, initial=40, delta=0, duration=1000, res=40
elapsed=830, initial=1, delta=29, duration=1000, res=1
elapsed=830, initial=40, delta=0, duration=1000, res=40
elapsed=845, initial=1, delta=29, duration=1000, res=1
elapsed=845, initial=40, delta=0, duration=1000, res=40
elapsed=862, initial=1, delta=29, duration=1000, res=1
elapsed=862, initial=40, delta=0, duration=1000, res=40
elapsed=878, initial=1, delta=29, duration=1000, res=1
elapsed=878, initial=40, delta=0, duration=1000, res=40
elapsed=893, initial=1, delta=29, duration=1000, res=1
elapsed=893, initial=40, delta=0, duration=1000, res=40
elapsed=910, initial=1, delta=29, duration=1000, res=1
elapsed=910, initial=40, delta=0, duration=1000, res=40
elapsed=926, initial=1, delta=29, duration=1000, res=1
elapsed=926, initial=40, delta=0, duration=1000, res=40
elapsed=942, initial=1, delta=29, duration=1000, res=1
elapsed=942, initial=40, delta=0, duration=1000, res=40
elapsed=958, initial=1, delta=29, duration=1000, res=1
elapsed=958, initial=40, delta=0, duration=1000, res=40
elapsed=975, initial=1, delta=29, duration=1000, res=1
elapsed=975, initial=40, delta=0, duration=1000, res=40
elapsed=991, initial=1, delta=29, duration=1000, res=1
elapsed=991, initial=40, delta=0, duration=1000, res=40
elapsed=1000, initial=1, delta=29, duration=1000, res=30
elapsed=1000, initial=40, delta=0, duration=1000, res=40
elapsed=0, initial=30, delta=-30, duration=1000, res=30
elapsed=0, initial=40, delta=0, duration=1000, res=40
elapsed=15, initial=30, delta=-30, duration=1000, res=30
elapsed=15, initial=40, delta=0, duration=1000, res=40
elapsed=31, initial=30, delta=-30, duration=1000, res=30
elapsed=31, initial=40, delta=0, duration=1000, res=40
elapsed=47, initial=30, delta=-30, duration=1000, res=30
elapsed=47, initial=40, delta=0, duration=1000, res=40
elapsed=63, initial=30, delta=-30, duration=1000, res=30
elapsed=63, initial=40, delta=0, duration=1000, res=40
elapsed=79, initial=30, delta=-30, duration=1000, res=30
elapsed=79, initial=40, delta=0, duration=1000, res=40
elapsed=95, initial=30, delta=-30, duration=1000, res=30
elapsed=95, initial=40, delta=0, duration=1000, res=40
elapsed=111, initial=30, delta=-30, duration=1000, res=30
elapsed=111, initial=40, delta=0, duration=1000, res=40
elapsed=127, initial=30, delta=-30, duration=1000, res=30
elapsed=127, initial=40, delta=0, duration=1000, res=40
elapsed=144, initial=30, delta=-30, duration=1000, res=30
elapsed=144, initial=40, delta=0, duration=1000, res=40
elapsed=159, initial=30, delta=-30, duration=1000, res=30
elapsed=159, initial=40, delta=0, duration=1000, res=40
elapsed=175, initial=30, delta=-30, duration=1000, res=30
elapsed=175, initial=40, delta=0, duration=1000, res=40
elapsed=191, initial=30, delta=-30, duration=1000, res=30
elapsed=191, initial=40, delta=0, duration=1000, res=40
elapsed=207, initial=30, delta=-30, duration=1000, res=30
elapsed=207, initial=40, delta=0, duration=1000, res=40
elapsed=223, initial=30, delta=-30, duration=1000, res=30
elapsed=223, initial=40, delta=0, duration=1000, res=40
elapsed=239, initial=30, delta=-30, duration=1000, res=30
elapsed=239, initial=40, delta=0, duration=1000, res=40
elapsed=255, initial=30, delta=-30, duration=1000, res=30
elapsed=255, initial=40, delta=0, duration=1000, res=40
elapsed=271, initial=30, delta=-30, duration=1000, res=30
elapsed=271, initial=40, delta=0, duration=1000, res=40
elapsed=288, initial=30, delta=-30, duration=1000, res=30
elapsed=288, initial=40, delta=0, duration=1000, res=40
elapsed=304, initial=30, delta=-30, duration=1000, res=30
elapsed=304, initial=40, delta=0, duration=1000, res=40
elapsed=320, initial=30, delta=-30, duration=1000, res=30
elapsed=320, initial=40, delta=0, duration=1000, res=40
elapsed=336, initial=30, delta=-30, duration=1000, res=30
elapsed=336, initial=40, delta=0, duration=1000, res=40
elapsed=352, initial=30, delta=-30, duration=1000, res=30
elapsed=352, initial=40, delta=0, duration=1000, res=40
elapsed=368, initial=30, delta=-30, duration=1000, res=30
elapsed=368, initial=40, delta=0, duration=1000, res=40
elapsed=384, initial=30, delta=-30, duration=1000, res=30
elapsed=384, initial=40, delta=0, duration=1000, res=40
elapsed=400, initial=30, delta=-30, duration=1000, res=30
elapsed=400, initial=40, delta=0, duration=1000, res=40
elapsed=417, initial=30, delta=-30, duration=1000, res=30
elapsed=417, initial=40, delta=0, duration=1000, res=40
elapsed=433, initial=30, delta=-30, duration=1000, res=30
elapsed=433, initial=40, delta=0, duration=1000, res=40
elapsed=449, initial=30, delta=-30, duration=1000, res=30
elapsed=449, initial=40, delta=0, duration=1000, res=40
elapsed=465, initial=30, delta=-30, duration=1000, res=30
elapsed=465, initial=40, delta=0, duration=1000, res=40
elapsed=481, initial=30, delta=-30, duration=1000, res=30
elapsed=481, initial=40, delta=0, duration=1000, res=40
elapsed=497, initial=30, delta=-30, duration=1000, res=30
elapsed=497, initial=40, delta=0, duration=1000, res=40
elapsed=512, initial=30, delta=-30, duration=1000, res=30
elapsed=512, initial=40, delta=0, duration=1000, res=40
elapsed=529, initial=30, delta=-30, duration=1000, res=30
elapsed=529, initial=40, delta=0, duration=1000, res=40
elapsed=545, initial=30, delta=-30, duration=1000, res=30
elapsed=545, initial=40, delta=0, duration=1000, res=40
elapsed=561, initial=30, delta=-30, duration=1000, res=30
elapsed=561, initial=40, delta=0, duration=1000, res=40
elapsed=577, initial=30, delta=-30, duration=1000, res=30
elapsed=577, initial=40, delta=0, duration=1000, res=40
elapsed=593, initial=30, delta=-30, duration=1000, res=30
elapsed=593, initial=40, delta=0, duration=1000, res=40
elapsed=609, initial=30, delta=-30, duration=1000, res=30
elapsed=609, initial=40, delta=0, duration=1000, res=40
elapsed=625, initial=30, delta=-30, duration=1000, res=30
elapsed=625, initial=40, delta=0, duration=1000, res=40
elapsed=641, initial=30, delta=-30, duration=1000, res=30
elapsed=641, initial=40, delta=0, duration=1000, res=40
